Date,HIGH,CLOSE,LOW,OPEN,VOLUME
2015-06-02,2117.59,2109.6,2099.14,2110.41,
2015-06-03,2121.92,2114.07,2109.61,2110.64,
2015-06-04,2112.89,2095.84,2093.23,2112.35,
2015-06-05,2100.99,2092.83,2085.67,2095.09,
2015-06-08,2093.01,2079.28,2079.11,2092.34,
2015-06-09,2085.62,2080.15,2072.14,2079.07,
2015-06-10,2108.5,2105.2,2081.12,2081.12,
2015-06-11,2115.02,2108.86,2106.24,2106.24,
2015-06-12,2107.43,2094.11,2091.33,2107.43,
2015-06-15,2091.34,2084.43,2072.49,2091.34,
2015-06-16,2097.4,2096.29,2082.1,2084.26,
2015-06-17,2106.79,2100.44,2088.86,2097.4,
2015-06-18,2126.65,2121.24,2101.58,2101.58,
2015-06-19,2121.64,2109.99,2109.45,2121.06,
2015-06-22,2129.87,2122.85,2112.5,2112.5,
2015-06-23,2128.03,2124.2,2119.89,2123.16,
2015-06-24,2125.1,2108.58,2108.58,2123.65,
2015-06-25,2116.04,2102.31,2101.78,2109.96,
2015-06-26,2108.92,2101.49,2095.38,2102.62,
2015-06-29,2098.63,2057.64,2056.64,2098.63,
